,municipio,casos,defunciones,habitantes
0,Nezahualcóyotl,18330,1081,1077208
1,Toluca,14387,2373,910608
2,Chalco,7921,1317,400057
3,Tultitlán,5903,1026,516341
4,Ixtapaluca,5437,591,542211
5,Tecámac,5275,814,547503
6,Chimalhuacán,4977,542,705193
7,Cuautitlán,3675,401,178847
8,Metepec,3410,588,242307
9,Huixquilucan,3401,171,284965
10,La Paz,2681,598,304088
11,Texcoco,2469,487,277562
12,Zumpango,2082,318,280455
13,Tultepec,1741,220,157645
14,Lerma,1616,329,170327
15,Zinacantepec,1611,285,203872
16,Chicoloapan,1561,162,200750
17,Atlacomulco,1386,288,109384
18,Acolman,1249,103,171507
19,Huehuetoca,1094,104,163244
20,Tejupilco,1068,157,79282
21,Ixtlahuaca,841,186,160139
22,Tenancingo,786,186,104677
23,Tlalmanalco,739,35,49196
24,Teotihuacán,723,75,58507
25,Ocoyoacac,709,162,72103
26,Atizapán,677,149,12984
27,Xonacatlán,651,140,54633
28,Tianguistenco,612,80,84259
29,Tepotzotlán,572,49,103696
30,Jilotepec,564,89,87671
31,Jocotitlán,538,63,69264
32,Temoaya,501,103,105766
33,Atenco,481,62,75489
34,Otzolotepec,480,117,88783
35,Coyotepec,451,74,40885
36,Calimaya,448,90,68489
37,Amecameca,435,46,53441
38,Tezoyuca,345,51,47044
39,Capulhuac,331,27,36921
40,El Oro,329,70,36937
41,Temascalcingo,319,40,66414
42,Otumba,308,32,36331
43,Temascalapa,300,35,43593
44,Axapusco,285,19,29128
45,Nextlalpan,271,55,57082
46,Hueypoxtla,260,40,46757
47,Ozumba,256,14,30785
48,Xalatlaco,224,34,30687
49,Temamatla,219,9,14130
50,Jiquipilco,213,49,76826
51,Jilotzingo,200,13,19877
52,Tequixquiac,190,39,39489
53,Apaxco,187,56,31898
54,Jaltenco,179,42,28217
55,Amanalco,171,20,23675
56,Luvianos,170,36,28822
57,Chiconcuac,167,19,27692
58,Cocotitlán,166,10,15107
59,Ocuilan,160,37,36223
60,Chiautla,160,28,30045
61,Mexicaltzingo,148,31,13807
62,Atlautla,146,10,31900
63,Chapultepec,138,23,12772
64,Temascaltepec,132,29,35014
65,Morelos,129,13,33164
66,Malinalco,125,33,28155
67,Aculco,113,8,49266
68,Tepetlixpa,113,7,20500
69,Nopaltepec,111,4,10351
70,Rayón,110,20,15972
71,Joquicingo,105,32,15428
72,Juchitepec,102,10,27116
73,Tepetlaoxtoc,101,12,32564
74,Zumpahuacán,100,29,18833
75,Texcaltitlán,92,5,18482
76,Tlatlaya,85,28,31762
77,Amatepec,82,16,25244
78,Timilpan,79,9,16414
79,Tonatico,71,13,12912
80,Tonanitla,66,11,14883
81,Sultepec,59,12,24145
82,Texcalyacac,57,7,5736
83,Polotitlán,46,2,14985
84,Zacualpan,36,3,13522
85,Ayapango,33,2,10053
86,Papalotla,29,4,4862
87,Ecatzingo,27,1,10827
88,Zacazonapan,18,1,5109
89,Otzoloapan,13,4,4891
